Algorithm,Train RMSE,Test RMSE,Train R²,Test R²,Train MAE,Test MAE,CV R² (Best),Overfitting,Training Time (s),Note
SVR,1.0492638666593337,0.6265573784310065,0.04400546898458413,-0.004023224895558952,0.15986057483960825,0.12439886901147541,-9.32721397302207e+29,0.04802869388014308,1.4469678401947021,Support Vector Machine
ElasticNet,1.0731415579934551,0.6277624683933277,0.0,-0.007889117853411953,0.2332179565650592,0.17886214733807204,-5.588808231050018e+30,0.007889117853411953,0.05862545967102051,Combined L1+L2 regularization
Lasso Regression,1.0731415579934551,0.6277624683933277,0.0,-0.007889117853411953,0.2332179565650592,0.17886214733807204,-5.607654655263402e+30,0.007889117853411953,0.14176654815673828,L1 regularization (feature selection)
Ridge Regression,1.0565363889354893,0.6518848754682809,0.030707411460083045,-0.08683564010602152,0.2625978125038108,0.24067896292071414,-1.139347622429307e+31,0.11754305156610456,1.6710164546966553,L2 regularization
Linear Regression,1.05512561629021,0.6669586308040022,0.033294238601523474,-0.13767929811089896,0.29049750039726396,0.28613554376552836,-1.919778283709815e+31,0.17097353671242244,4.659780502319336,Baseline model
Random Forest,0.7046145996624581,0.9107255365794857,0.5688888571497976,-1.1212755691106966,0.13737465399726376,0.23691428537230938,-9.643933851991269e+30,1.6901644262604942,16.47273898124695,Ensemble tree-based
KNN Regression,0.0,1.0032041045474358,1.0,-1.573953295686703,0.0,0.23600861769607684,-1.6072436252004753e+30,2.573953295686703,0.33081507682800293,Distance-based regression
Gradient Boosting,0.000323859924507763,1.1815456792159584,0.9999999089247454,-2.5704511400915635,0.00023000106486640985,0.3113508019382569,-2.747233380106642e+28,3.570451049016309,12.341917514801025,Sequential boosting ensemble
